DoriC AC	RefSeq	Organsim	Taxonomy	Genome Length	oriC location	dnaA box number	dnaA location	The extremes of GC disparity
ORI94040316	NC_015672.1	Flexistipes sinusarabici DSM 4947 chromosome	Bacteria, Deferribacteres, Deferribacterales, Deferribacteraceae, Flexistipes.	2526590 nt	1415..1690 nt	1	80..1414 nt	2155 nt (minimum), 1286180 nt (maximum)
ORI94040317	NC_015672.1	Flexistipes sinusarabici DSM 4947 chromosome	Bacteria, Deferribacteres, Deferribacterales, Deferribacteraceae, Flexistipes.	2526590 nt	2526243..79 nt	1	80..1414 nt	2155 nt (minimum), 1286180 nt (maximum)
ORI94040318	NC_015681.1	Thermodesulfatator indicus DSM 15286 chromosome	Bacteria, Thermodesulfobacteria, Thermodesulfobacteriales, Thermodesulfobacteriaceae, Thermodesulfatator.	2322224 nt	1054019..1054412 nt	1	258..1661 nt	1165889 nt (minimum), 763 nt (maximum)
ORI94040319	NC_015684.1	Oligotropha carboxidovorans OM5 chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Oligotropha.	3595748 nt	3594586..100 nt	1	101..1528 nt	157083 nt (minimum), 2049585 nt (maximum)
ORI94040320	NC_015717.1	Hyphomicrobium sp. MC1	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Hyphomicrobium.	4757528 nt	1518..1803 nt	1	6..1517, 2279698..2280267 nt	4 nt (minimum), 4757510 nt (maximum)
ORI94040321	NC_015723.1	Cupriavidus necator N-1 chromosome chromosome 2	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus.	2684606 nt	2683782..100 nt	2	-	12601 nt (minimum), 1342036 nt (maximum)
ORI94040322	NC_015725.1	Mycoplasma bovis Hubei-1 chromosome	Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma.	948121 nt	1402..1534 nt	1	1..1401 nt	948023 nt (minimum), 563612 nt (maximum)
ORI94040323	NC_015725.1	Mycoplasma bovis Hubei-1 chromosome	Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma.	948121 nt	947939..948121 nt	2	1..1401 nt	948023 nt (minimum), 563612 nt (maximum)
ORI94040324	NC_015731.1	Nitrosomonas sp. Is79A3 chromosome	Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales, Nitrosomonadaceae, Nitrosomonas.	3783444 nt	1436..1625 nt	2	62..1435 nt	2850 nt (minimum), 1889935 nt (maximum)
ORI94040325	NC_015735.1	Candidatus Moranella endobia PCIT chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Candidatus Moranella.	538294 nt	118199..119544 nt	1	-	195720 nt (minimum), 480255 nt (maximum)
ORI94040326	NC_015736.1	Candidatus Tremblaya princeps PCIT chromosome	Bacteria, Proteobacteria, Betaproteobacteria, Candidatus Tremblaya.	138927 nt	133864..133985 nt	0	132730..133863 nt	138850 nt (minimum), 59207 nt (maximum)
ORI94040327	NC_015738.1	Eggerthella sp. YY7918	Bacteria, Actinobacteria, Coriobacteridae, Coriobacteriales, Coriobacterineae, Coriobacteriaceae, Eggerthella.	3123671 nt	1489..1894 nt	1	1..1488 nt	3123571 nt (minimum), 1524394 nt (maximum)
ORI94040328	NC_015757.1	Sulfobacillus acidophilus TPY chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiales Family XVII. Incertae Sedis, Sulfobacillus.	3551206 nt	3550877..3551206 nt	2	1..1368 nt	3551068 nt (minimum), 1460777 nt (maximum)
ORI94040329	NC_015758.1	Mycobacterium africanum GM041182 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium, Mycobacterium tuberculosis complex.	4389314 nt	1525..2052 nt	1	1..1524 nt	4389014 nt (minimum), 2044101 nt (maximum)
ORI94040330	NC_015758.1	Mycobacterium africanum GM041182 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium, Mycobacterium tuberculosis complex.	4389314 nt	4388712..4389314 nt	1	1..1524 nt	4389014 nt (minimum), 2044101 nt (maximum)
ORI94040331	NC_015848.1	Mycobacterium canettii CIPT 140010059	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium, Mycobacterium tuberculosis complex.	4482059 nt	1525..2051 nt	1	1..1524 nt	4481759 nt (minimum), 2125455 nt (maximum)
ORI94040332	NC_015848.1	Mycobacterium canettii CIPT 140010059	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium, Mycobacterium tuberculosis complex.	4482059 nt	4481457..4482059 nt	1	1..1524 nt	4481759 nt (minimum), 2125455 nt (maximum)
ORI94040333	NC_015850.1	Acidithiobacillus caldus SM-1 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Acidithiobacillales, Acidithiobacillaceae, Acidithiobacillus.	2932225 nt	1354..1600 nt	2	1..1353, 996819..997523 nt	2693 nt (minimum), 1661763 nt (maximum)
ORI94040334	NC_015858.1	Brucella pinnipedialis B2/94 chromosome chromosome 2	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Brucella.	1260926 nt	1260713..154 nt	2	-	1259334 nt (minimum), 517619 nt (maximum)
ORI94040335	NC_015913.1	Candidatus Arthromitus sp. SFB-mouse-Japan	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Candidatus Arthromitus.	1620005 nt	1619588..1620005 nt	2	1..1359 nt	1543 nt (minimum), 806251 nt (maximum)
ORI95040336	NC_015921.1	Borrelia bissettii DN127 chromosome	Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Borrelia, Borrelia burgdorferi group.	900755 nt	456863..457101 nt	2	455408..456862 nt	457052 nt (minimum), 7 nt (maximum)
ORI95040337	NC_015946.1	Mycoplasma putrefaciens KS1 chromosome	Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma.	832603 nt	1357..1571 nt	1	1..1356 nt	41097 nt (minimum), 437436 nt (maximum)
ORI95040338	NC_015946.1	Mycoplasma putrefaciens KS1 chromosome	Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma.	832603 nt	832303..832603 nt	2	1..1356 nt	41097 nt (minimum), 437436 nt (maximum)
ORI95040339	NC_016010.1	Xanthomonas axonopodis pv. citrumelo F1 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Xanthomonas.	4967469 nt	1371..1646 nt	2	42..1370 nt	4891489 nt (minimum), 2550849 nt (maximum)
ORI95040340	NC_016012.1	Candidatus Arthromitus sp. SFB-rat-Yit	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Candidatus Arthromitus.	1515556 nt	1515142..1515556 nt	2	1..1359 nt	1545 nt (minimum), 728295 nt (maximum)
ORI95040341	NC_016025.1	Candidatus Chloracidobacterium thermophilum B chromosome chromosome 2	Bacteria, Acidobacteria, Candidatus Chloracidobacterium.	1012010 nt	802..1105 nt	1	-	1008540 nt (minimum), 353018 nt (maximum)
ORI95040342	NC_016026.1	Micavibrio aeruginosavorus ARL-13 chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Micavibrio.	2481983 nt	2481618..40 nt	1	399177..400592 nt	2481961 nt (minimum), 1260725 nt (maximum)
ORI95040343	NC_016078.1	Pelagibacterium halotolerans B2 chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Pelagibacterium.	3944837 nt	2825286..2825556 nt	2	606929..607336, 2825557..2826402 nt	3944782 nt (minimum), 18 nt (maximum)
ORI95040344	NC_016112.1	Methylomicrobium alcaliphilum chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylomicrobium.	4668296 nt	1473..1657 nt	2	156..1472 nt	1417 nt (minimum), 2307432 nt (maximum)
ORI95040345	NC_016147.1	Pseudoxanthomonas spadix BD-a59 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Pseudoxanthomonas.	3452554 nt	1336..1630 nt	1	1..1335 nt	131835 nt (minimum), 1722959 nt (maximum)
ORI95040346	NC_016599.1	Owenweeksia hongkongensis DSM 17368 chromosome	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Cryomorphaceae, Owenweeksia.	4000057 nt	2623145..2623177 nt	2	1013149..1014579 nt	2580820 nt (minimum), 645670 nt (maximum)
ORI95040347	NC_016599.1	Owenweeksia hongkongensis DSM 17368 chromosome	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Cryomorphaceae, Owenweeksia.	4000057 nt	2625050..2625077 nt	1	1013149..1014579 nt	2580820 nt (minimum), 645670 nt (maximum)
ORI95040348	NC_016604.1	Mycobacterium rhodesiae NBB3 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium.	6415739 nt	1849907..1850471 nt	1	1850472..1851980 nt	1852318 nt (minimum), 5098566 nt (maximum)
ORI95040349	NC_016604.1	Mycobacterium rhodesiae NBB3 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium.	6415739 nt	1851981..1852548 nt	1	1850472..1851980 nt	1852318 nt (minimum), 5098566 nt (maximum)
ORI95040350	NC_016610.1	Tannerella forsythia ATCC 43037 chromosome	Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Tannerella.	3405521 nt	1193792..1193836 nt	2	547..1959 nt	1189711 nt (minimum), 2857102 nt (maximum)
ORI95040351	NC_016614.1	Vibrio sp. EJY3 chromosome chromosome 2	Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio.	1974339 nt	1974116..1017 nt	1	-	1974339 nt (minimum), 899192 nt (maximum)
ORI95040352	NC_016616.1	Dechlorosoma suillum PS chromosome	Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Azospira.	3806980 nt	846451..846679 nt	2	846680..848101 nt	812338 nt (minimum), 2655122 nt (maximum)
ORI95040353	NC_016616.1	Dechlorosoma suillum PS chromosome	Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Azospira.	3806980 nt	848102..848499 nt	1	846680..848101 nt	812338 nt (minimum), 2655122 nt (maximum)
ORI95040354	NC_016628.1	Vibrio furnissii NCTC 11218 chromosome chromosome 2	Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio.	1621862 nt	1029793..1031066 nt	1	-	1030669 nt (minimum), 198023 nt (maximum)
ORI95040355	NC_016629.1	Desulfovibrio africanus str. Walvis Bay chromosome	Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio.	4200534 nt	1314124..1314258 nt	2	200..1564 nt	1216283 nt (minimum), 3325049 nt (maximum)
ORI95040356	NC_016631.1	Granulicella mallensis MP5ACTX8 chromosome	Bacteria, Acidobacteria, Acidobacteriales, Acidobacteriaceae, Granulicella.	6237577 nt	1475..2116 nt	1	50..1474 nt	168644 nt (minimum), 3021743 nt (maximum)
ORI95040357	NC_016638.1	Mycoplasma haemocanis str. Illinois chromosome	Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma.	919992 nt	1264..1587 nt	1	1..1263 nt	919960 nt (minimum), 586119 nt (maximum)
ORI95040358	NC_016642.1	Pseudovibrio sp. FO-BEG1 chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Pseudovibrio.	5475670 nt	295657..295942 nt	1	412857..414326, 2938558..2939181 nt	5475662 nt (minimum), 526 nt (maximum)
ORI95040359	NC_016751.1	Marinitoga piezophila KA3 chromosome	Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Marinitoga.	2231407 nt	1228560..1229785 nt	2	114..1478 nt	1243049 nt (minimum), 2225491 nt (maximum)
ORI95040360	NC_016768.1	Mycobacterium tuberculosis KZN 4207 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium, Mycobacterium tuberculosis complex.	4394985 nt	1626..2152 nt	1	102..1625 nt	1892 nt (minimum), 2376081 nt (maximum)
ORI95040361	NC_016768.1	Mycobacterium tuberculosis KZN 4207 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium, Mycobacterium tuberculosis complex.	4394985 nt	4394484..101 nt	1	102..1625 nt	1892 nt (minimum), 2376081 nt (maximum)
ORI95040362	NC_016775.1	Brucella suis VBI22 chromosome chromosome II	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Brucella.	1207451 nt	1207238..154 nt	2	-	1205859 nt (minimum), 532242 nt (maximum)
ORI95040363	NC_016776.1	Bacteroides fragilis 638R	Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides.	5373121 nt	105766..105815 nt	2	4341705..4343135 nt	5372769 nt (minimum), 2757510 nt (maximum)
ORI95040364	NC_016777.1	Brucella abortus A13334 chromosome chromosome 2	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Brucella.	1162259 nt	150016..150425 nt	2	-	148637 nt (minimum), 831723 nt (maximum)
ORI95040365	NC_016796.1	Brucella canis HSK A52141 chromosome chromosome 2	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Brucella.	1170489 nt	795403..795812 nt	2	-	796927 nt (minimum), 263547 nt (maximum)
ORI95040366	NC_016803.1	Desulfovibrio desulfuricans ND132 chromosome	Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio.	3858580 nt	2528745..2529111 nt	1	125..1486, 2529112..2530410 nt	2541360 nt (minimum), 508015 nt (maximum)
ORI95040367	NC_016807.1	Mycoplasma pneumoniae 309	Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma.	817176 nt	817121..690 nt	3	814250..815569 nt	2235 nt (minimum), 415999 nt (maximum)
ORI95040368	NC_016884.1	Sulfobacillus acidophilus DSM 10332 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiales Family XVII. Incertae Sedis, Sulfobacillus.	3472898 nt	3472809..240 nt	2	241..1608 nt	3472838 nt (minimum), 1705651 nt (maximum)
ORI95040369	NC_017030.1	Corallococcus coralloides DSM 2259 chromosome	Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Myxococcaceae, Corallococcus.	10080619 nt	10080452..89 nt	1	90..1448 nt	6278 nt (minimum), 5246972 nt (maximum)
ORI95040370	NC_017033.1	Frateuria aurantia DSM 6220 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Frateuria.	3603458 nt	1399..1656 nt	2	13..1398 nt	2003 nt (minimum), 1943587 nt (maximum)
ORI95040371	NC_017033.1	Frateuria aurantia DSM 6220 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Frateuria.	3603458 nt	3603240..12 nt	2	13..1398 nt	2003 nt (minimum), 1943587 nt (maximum)
ORI96010001	NC_014145.1	Thiomonas sp. 3As	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Thiomonas.	3738778 nt	1739..1988 nt	3	284..1738, 1275650..1276402 nt	81923 nt (minimum), 1834654 nt (maximum)
ORI96010002	NC_017053.1	Streptococcus pyogenes MGAS1882 chromosome	Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus.	1781029 nt	1781029..231 nt	7	232..1587, 735112..735795 nt	2823 nt (minimum), 887549 nt (maximum)
ORI96010003	NC_017061.1	Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus.	4242774 nt	1753..1936 nt	3	412..1752 nt	2419 nt (minimum), 2075253 nt (maximum)
ORI96010004	NC_017061.1	Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus.	4242774 nt	4242564..411 nt	8	412..1752 nt	2419 nt (minimum), 2075253 nt (maximum)
ORI96010005	NC_017068.1	Selenomonas ruminantium subsp. lactilytica TAM6421	Bacteria, Firmicutes, Negativicutes, Selenomonadales, Veillonellaceae, Selenomonas.	3003680 nt	1700..1977 nt	6	272..1699 nt	2940 nt (minimum), 1564820 nt (maximum)
ORI96010006	NC_017068.1	Selenomonas ruminantium subsp. lactilytica TAM6421	Bacteria, Firmicutes, Negativicutes, Selenomonadales, Veillonellaceae, Selenomonas.	3003680 nt	3003501..271 nt	8	272..1699 nt	2940 nt (minimum), 1564820 nt (maximum)
ORI96010007	NC_017093.1	Actinoplanes missouriensis 431	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micromonosporineae, Micromonosporaceae, Actinoplanes.	8773466 nt	1946..3167 nt	11	164..1945 nt	5801 nt (minimum), 4344356 nt (maximum)
ORI96010008	NC_017094.1	Leptospirillum ferrooxidans C2-3	Bacteria, Nitrospirae, Nitrospirales, Nitrospiraceae, Leptospirillum.	2559538 nt	2558885..2559538 nt	4	1..1395 nt	2557836 nt (minimum), 1235452 nt (maximum)
ORI96010009	NC_017096.1	Caldisericum exile AZM16c01	Bacteria, Caldiserica, Caldisericia, Caldisericales, Caldisericaceae, Caldisericum.	1558103 nt	1306..1371 nt	4	1..1305 nt	1558065 nt (minimum), 799729 nt (maximum)
ORI96010010	NC_017098.1	Spirochaeta africana DSM 8902 chromosome	Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Spirochaeta.	3285855 nt	1402..1632 nt	3	19..1401 nt	3285710 nt (minimum), 1721550 nt (maximum)
ORI96010011	NC_017138.1	Bacillus megaterium WSH-002 chromosome	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus.	4983975 nt	4982157..4982342 nt	3	4982343..4983686 nt	40 nt (minimum), 2594614 nt (maximum)
ORI96010012	NC_017138.1	Bacillus megaterium WSH-002 chromosome	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus.	4983975 nt	4983687..465 nt	10	4982343..4983686 nt	40 nt (minimum), 2594614 nt (maximum)
ORI96010013	NC_017162.1	Acinetobacter baumannii 1656-2 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter calcoaceticus/baumannii complex.	3940614 nt	17714..18383 nt	9	16316..17713 nt	18147 nt (minimum), 2392097 nt (maximum)
ORI96010014	NC_017167.1	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1 chromosome	Bacteria, Firmicutes, Bacilli, Bacillales, Alicyclobacillaceae, Alicyclobacillus.	3124048 nt	1401..1468 nt	3	36..1400 nt	3124040 nt (minimum), 1476028 nt (maximum)
ORI96010015	NC_017171.1	Acinetobacter baumannii MDR-ZJ06 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter calcoaceticus/baumannii complex.	3991133 nt	6768..7436 nt	9	5370..6767 nt	7201 nt (minimum), 2056832 nt (maximum)
ORI96010016	NC_017179.1	Clostridium difficile BI1	Bacteria, Firmicutes, Clostridia, Clostridiales, Peptostreptococcaceae.	4118573 nt	1321..1561 nt	4	1..1320 nt	134 nt (minimum), 2095192 nt (maximum)
ORI96010017	NC_017179.1	Clostridium difficile BI1	Bacteria, Firmicutes, Clostridia, Clostridiales, Peptostreptococcaceae.	4118573 nt	4117916..4118573 nt	11	1..1320 nt	134 nt (minimum), 2095192 nt (maximum)
ORI96010018	NC_017188.1	Bacillus amyloliquefaciens TA208 chromosome	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus.	3937511 nt	1753..1937 nt	3	412..1752 nt	3937490 nt (minimum), 1535069 nt (maximum)
ORI96010019	NC_017188.1	Bacillus amyloliquefaciens TA208 chromosome	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus.	3937511 nt	3937302..411 nt	8	412..1752 nt	3937490 nt (minimum), 1535069 nt (maximum)
ORI96010020	NC_017190.1	Bacillus amyloliquefaciens LL3 chromosome	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus.	3995227 nt	1753..1937 nt	3	412..1752, 3546543..3548153 nt	1180 nt (minimum), 1907733 nt (maximum)
ORI96010021	NC_017190.1	Bacillus amyloliquefaciens LL3 chromosome	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus.	3995227 nt	3994866..411 nt	8	412..1752, 3546543..3548153 nt	1180 nt (minimum), 1907733 nt (maximum)
ORI96010022	NC_017191.1	Bacillus amyloliquefaciens XH7 chromosome	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus.	3939203 nt	1753..1937 nt	3	412..1752, 3501384..3502994 nt	3939182 nt (minimum), 1536385 nt (maximum)
ORI96010023	NC_017191.1	Bacillus amyloliquefaciens XH7 chromosome	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus.	3939203 nt	3938842..411 nt	8	412..1752, 3501384..3502994 nt	3939182 nt (minimum), 1536385 nt (maximum)
ORI96010024	NC_017195.1	Bacillus subtilis subsp. subtilis str. RO-NN-1 chromosome	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus.	4011949 nt	1751..1935 nt	3	410..1750 nt	200 nt (minimum), 1930334 nt (maximum)
ORI96010025	NC_017195.1	Bacillus subtilis subsp. subtilis str. RO-NN-1 chromosome	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus.	4011949 nt	4011447..409 nt	8	410..1750 nt	200 nt (minimum), 1930334 nt (maximum)
ORI96010026	NC_017196.1	Bacillus subtilis subsp. natto BEST195	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus.	4091591 nt	1751..1938 nt	3	410..1750 nt	200 nt (minimum), 1945607 nt (maximum)
ORI96010027	NC_017196.1	Bacillus subtilis subsp. natto BEST195	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus.	4091591 nt	4091089..409 nt	8	410..1750 nt	200 nt (minimum), 1945607 nt (maximum)
ORI96010028	NC_017200.1	Bacillus thuringiensis serovar finitimus YBT-020 chromosome	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5355490 nt	1749..1926 nt	4	408..1748 nt	5355480 nt (minimum), 2646613 nt (maximum)
ORI96010029	NC_017200.1	Bacillus thuringiensis serovar finitimus YBT-020 chromosome	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5355490 nt	5355333..407 nt	9	408..1748 nt	5355480 nt (minimum), 2646613 nt (maximum)
ORI96010030	NC_017208.1	Bacillus thuringiensis serovar chinensis CT-43 chromosome	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5486830 nt	1624..1801 nt	4	283..1623 nt	1787 nt (minimum), 2714171 nt (maximum)
ORI96010031	NC_017208.1	Bacillus thuringiensis serovar chinensis CT-43 chromosome	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5486830 nt	5486549..282 nt	9	283..1623 nt	1787 nt (minimum), 2714171 nt (maximum)
ORI96010032	NC_017216.1	Bifidobacterium animalis subsp. lactis BLC1 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	1943990 nt	1886..2488 nt	9	122..1885 nt	1943961 nt (minimum), 1009287 nt (maximum)
ORI96010033	NC_017216.1	Bifidobacterium animalis subsp. lactis BLC1 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	1943990 nt	1943777..121 nt	3	122..1885 nt	1943961 nt (minimum), 1009287 nt (maximum)
ORI96010034	NC_017217.1	Bifidobacterium animalis subsp. lactis V9 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	1944050 nt	1886..2488 nt	9	134..1885 nt	1944021 nt (minimum), 1009319 nt (maximum)
ORI96010035	NC_017217.1	Bifidobacterium animalis subsp. lactis V9 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	1944050 nt	1943837..133 nt	3	134..1885 nt	1944021 nt (minimum), 1009319 nt (maximum)
ORI96010036	NC_017218.1	Bifidobacterium breve ACS-071-V-Sch8b chromosome	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	2327492 nt	1543..2117 nt	7	76..1542 nt	9363 nt (minimum), 1163616 nt (maximum)
ORI96010037	NC_017218.1	Bifidobacterium breve ACS-071-V-Sch8b chromosome	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	2327492 nt	2327250..75 nt	3	76..1542 nt	9363 nt (minimum), 1163616 nt (maximum)
ORI96010038	NC_017219.1	Bifidobacterium longum subsp. infantis ATCC 15697	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	2828958 nt	2828641..2828958 nt	3	1..1503 nt	9433 nt (minimum), 1920944 nt (maximum)
ORI96010039	NC_017221.1	Bifidobacterium longum subsp. longum KACC 91563 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	2385301 nt	2271134..2271867 nt	8	2271868..2273370 nt	1501 nt (minimum), 1551252 nt (maximum)
ORI96010040	NC_017221.1	Bifidobacterium longum subsp. longum KACC 91563 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium.	2385301 nt	2273371..2273688 nt	3	2271868..2273370 nt	1501 nt (minimum), 1551252 nt (maximum)
ORI96010041	NC_017268.1	Treponema pallidum subsp. pallidum str. Chicago chromosome	Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Treponema.	1139281 nt	1399..1640 nt	3	4..1398 nt	2066 nt (minimum), 559012 nt (maximum)
ORI96010042	NC_017272.1	Thermus thermophilus SG0.5JP17-16 chromosome	Bacteria, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Thermus.	1863201 nt	1365..1665 nt	12	24..1364 nt	2281 nt (minimum), 958250 nt (maximum)
ORI96010043	NC_017278.1	Thermus sp. CCB_US3_UF1 chromosome	Bacteria, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Thermus.	2243772 nt	1389..1686 nt	13	48..1388 nt	65946 nt (minimum), 1199315 nt (maximum)
ORI96010044	NC_017295.1	Clostridium acetobutylicum EA 2018 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium.	3940230 nt	1808..2063 nt	5	467..1807 nt	128 nt (minimum), 1981955 nt (maximum)
ORI96010045	NC_017295.1	Clostridium acetobutylicum EA 2018 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium.	3940230 nt	3940132..466 nt	8	467..1807 nt	128 nt (minimum), 1981955 nt (maximum)
